TWA/TWS,0,2,4,6,8,10,12,14,16,18,20,25,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1.47,2.82,4.13,5.44,6.29,6.79,7.11,7.25,7.35,7.42,7.46,7.34
50,0,2.13,4.10,6.17,7.48,8.05,8.32,8.55,8.69,8.80,8.89,9.04,9.11
60,0,2.41,4.72,6.89,8.04,8.57,8.83,9.01,9.17,9.30,9.41,9.62,9.72
70,0,2.59,5.14,7.30,8.34,8.89,9.16,9.37,9.56,9.71,9.91,10.20,10.40
80,0,2.67,5.32,7.46,8.48,9.06,9.45,9.70,9.98,10.19,10.37,10.74,10.98
90,0,2.65,5.28,7.42,8.53,9.15,9.63,10.07,10.35,10.60,10.80,11.24,11.51
100,0,2.62,5.21,7.47,8.60,9.27,9.83,10.28,10.68,10.94,11.21,11.66,12.06
110,0,2.58,5.11,7.33,8.47,9.21,9.92,10.52,10.93,11.29,11.57,12.24,13.04
120,0,2.37,4.64,6.87,8.16,8.96,9.72,10.53,11.16,11.63,12.03,13.19,14.71
130,0,2.09,4.01,6.13,7.64,8.54,9.27,9.43,10.29,10.98,11.81,14.55,16.53
180,0,0.70,2.02,3.04,4.17,5.17,6.25,7.15,7.96,8.54,9.19,10.45,12.72
